Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-03-07,"Houston - A woman is facing charges after allegedly shooting a woman she was previously dating. According to the Houston Police Department, the victim and Decembly had been dating for several months, which had recently ended. An argument escalated after the victim went to Decembly's place to fight. Afterward, armed with the gun, Decembly came out, pursued the victim, and fired at least two more shots. Allegedly, the victim began to pound on the front door aggressively and ultimately broke a window using a brick.",neutral,0.67,"hospital, victim, Houston, Apple TV, District, argument, FOX, charges, shots, HOUSTON, Decembly, Amazon, aggravated assault, Google Android, Office for, Attorney, Harris County, window, pound, Roku, District Attorney, Richmond Avenue",2024-03-08,170.73,0.0
2024-03-07,"On March 7, 1970, North Carolina was experiencing a total solar eclipse!   Be sure to stay tuned to WFMY News 2 over the next month for more on the eclipse and how you can watch it here in the Triad.
   On March 7, 1970, North Carolina was experiencing a total solar eclipse!
   Download the WFMY News 2 APP from your Apple or Google Play store.
   In the days before, Patton showed our reporter various ways to watch a solar eclipse safely.
  ",neutral,0.58,"Google Play, next, News, Amazon Fire, North Carolina, telescope, eclipse, total, U.S, solar eclipse, Greensboro, Amazon, Jim Patton, Patton, diamond, Fire TV, binoculars, APP, solar, ROKU, N.C, Triad, WFMY, store, Apple, GREENSBORO",2024-03-08,170.73,0.0
2024-03-08,"Football Ex Falcons Exec Recalls Super Bowl Meltdown

When any Atlanta Falcons fan hears the phrase ""28-3,"" a flood of unpleasant memories are sure to follow.

 That guy No. 12 across the field, is Freddy effin’ Kruger. The Falcons were playing in their second Super Bowl in franchise history, and dominating the New England Patriots to take a 28-3 lead in the middle of the fourth quarter. ""And I whipped around and I said, ‘You effin’ people don’t get it. Seven years later, the Falcons' Super Bowl disaster remains a black eye on the franchise, and one could argue that they still haven't recovered.

",positive,0.65,"Brady, Apple, Copyright, moment, ABG, department, Super, Atlanta Falcons, swing, Apple TV, black eye, Super Bowl, team, Scott Pioli, Falcons, WEEI, memories, Tom Brady, Mike Kadlick, registered trademark, general manager, Pioli, Raheem Morris, Bowl, Meltdown, SPORTS ILLUSTRATED, Patriots, Scott, GM, overtime, implosion, back, flood",2024-03-09,170.73,0.0
2024-03-08,"I’m a longtime Apple Watch user who is starting to see the appeal of smart rings after ignoring them for years. Image source: Oura

Regarding actual smart ring choices, you get to choose between the two Oura Ring 3 designs and their various finishing options.

 Regardless of design choice and finish, the Oura Ring 3 will offer the same set of health and fitness features. I’ll also note that Horizon is similar to Samsung’s Galaxy Ring ring design.

 The Oura Ring 3 Heritage and Horizon are made of titanium and have the same hardware capabilities.",neutral,0.92,"Ring ring, wearables, rose gold, US, Samsung, heart rate, Apple, titanium, Apple Watch, FDA, Galaxy Ring, health, Natural Cycles, Best Buy, birth control, fitness tracking, Privacy Notice, First, design, Ring 3, Apple Ring, Oura

Regarding, Oura, sleep, circle, Amazon, Oura Membership, smartphone, ring, Regardless, plateau, Heritage, Oura Ring, Galaxy, smart, tech, gold, Tech. Entertainment, stealth, Ring, Amazon US, stress, Horizon",2024-03-09,170.73,0.0
2024-03-09,"It's March so that means the return of March Badness. Twitter Subscribe to our YouTube channel: Cobras & Fire Rock Podcast - YouTube Email us: Buy a shirt!: ""Cobras and Fire Podcast"" T-shirt for Sale by CobrasandFire | Redbubble | cobras and fire t-shirts - cobras fire t-shirts Stitcher: Cobras & Fire: Comedy / Rock Talk Show on Stitcher Spreaker: Cobras & Fire: Comedy / Rock Talk Show | Listen to Podcasts On Demand Free | TuneIn Twitter
 Subscribe to our YouTube channel: Cobras & Fire Rock Podcast - YouTube
 Email us:
 Buy a shirt!: ""Cobras and Fire Podcast"" T-shirt for Sale by CobrasandFire | Redbubble | cobras and fire t-shirts - cobras fire t-shirts
 Stitcher: Cobras & Fire: Comedy / Rock Talk Show on Stitcher
 Spreaker: Cobras & Fire: Comedy / Rock Talk Show | Listen to Podcasts On Demand Free | Rate, review, and subscribe at Apple Podcasts: Cobras & Fire: Comedy / Rock Talk Show on Apple Podcasts
 Join our fanpage on Facebook: (2) Cobras ON Fire: Rate, review, and subscribe at Apple Podcasts: Cobras & Fire: Comedy / Rock Talk Show on Apple Podcasts Join our fanpage on Facebook: (2) Cobras ON Fire:",neutral,1,"Apple Podcasts, Stitcher Spreaker, Fire Podcast, CobrasandFire, TuneIn, @CobrasFire, Show, Cobras, Rock Podcast, Facebook, Rate, Fire, Private Group, Redbubble, YouTube, March, Pantheon, Chicago, cobras, Stitcher, Rock, Geek, Podcasts, Twitter, Apple, Decibel Geek, Podcast, On Fire, Decibel",2024-03-10,172.75,-0.10986469295709363
2024-03-09,"NEW YORK — The small group of stocks that's been driving Wall Street to records is getting even smaller.
  A site just for our local community
  ✔ Focused on facts, not misinformation
  ✔ Free for everyone
  What's NABUR? Alphabet, Amazon, Apple, Meta Platforms, Microsoft, Nvidia and Tesla alone accounted for 62% of the S&P 500's return last year, including dividends.
   Please disable your ad blocker, whitelist our site, or purchase a subscription
  Better than a comments section
  Discuss the news on NABUR,
  a place to have local conversations
  The Neighborhood Alliance for Better Understanding and Respect
  ✔ Ads are being blocked by your browser.
  ",positive,0.6,"Microsoft, Tesla, Magnificent, U.S, NABUR, Wall, Magnificent Seven, Nvidia, Free, Better, facts, Meta Platforms, Amazon, local, Wall Street, stock market, return, “Magnificent Seven, site, Discuss, Apple, S&P 500, year, Street, NEW YORK",2024-03-10,172.75,-0.10986469295709363
2024-03-10,"Tim Cook, CEO of Apple, discusses the Apple original film “Killers of the Flower Moon,” which is up for 10 Oscars tonight.",neutral,0.77,"CEO, Tim Cook, Flower, film, Moon, tonight, WATCH, Oscars, original, Cook, Killers, Apple",2024-03-11,173.23,0.04620271440946236
2024-03-10,"Surgepays Inc (NASDAQ:SURG)'s traded shares stood at 0.66 million during the latest session, with the company's beta value hitting 1.58.
 Surgepays Inc (NASDAQ:SURG)'s Major holders
  Surgepays Inc insiders hold 34.01% of total outstanding shares, with institutional holders owning 8.11% of the shares at 12.30% float percentage. We also have Vanguard Total Stock Market Index Fund and Bridgeway Funds Inc-Ultra Small Company Fund as the top two Mutual Funds with the largest holdings of the Surgepays Inc (SURG) shares. Short interest in Surgepays Inc (NASDAQ:SURG) saw shorts transact 1.98 million shares and set a 2.18 days time to cover.
   Surgepays Inc has a forward dividend ratio of 0, with the share yield ticking at 0.00% to continue the rising pattern observed over the past year.",neutral,0.56,"trading, stock, 1.58, price, transact, Invest, Vanguard Group, total, peak, AI, Imagine, Buffett, Tesla, SURG Dividends, Vanguard, year, SURG, Jun, company, Jun 29, shares, NASDAQ, Surgepays, dividend, market valuation, Apple, Amazon, Revenue, dividend yield, Surgepays Inc, fiscal year",2024-03-11,173.23,0.04620271440946236
2024-03-11,") - Alabama State Representative John Rogers has agreed to plead guilty in a fraud case involving the Jefferson County Community Service Fund, according to the U.S. Attorney's Office in the Northern District of Alabama.
  An indictment in the case claimed about $400,000 in tax dollars from the Jefferson County Community Service Fund was given to the Piper Davis Youth Baseball League, run by State Rep. Fred Plump, and the indictment says Plump kicked back almost $200,000 to Rogers and his personal assistant, Varrie Johnson Kindall.
   According to U.S. Attorney Prim Escalona, Rogers will plead guilty to conspiracy to commit mail and wire fraud and conspiracy to obstruct justice in connection to a scheme to defraud the Jefferson County Community Service Fund.
  As part of the guilty plea agreement filed Monday, March 11, Rogers has also agreed to resign from the Alabama House of Representatives.
   In February 2024, Rogers' former assistant and companion, Varrie Johnson Kindall, pleaded guilty to conspiring with Rogers and Rep. Fred Plump Jr. to defraud the fund.
   The indictment also claims Rogers and Johnson cooked up a scheme where Johnson would take full responsibility for the crimes and lie about whether Rogers knew anything about the kickbacks, in exchange for Rogers promising to take care of personal issues for Johnson if she went to prison.",neutral,0.51,"Rogers, State, indictment, Alabama State, fraud, kickbacks, Prosecutors, Jefferson County, WBRC, John Rogers, Ala, Rogers guilty, U.S, U.S., mail, case, Fred Plump, Attorney, BIRMINGHAM, Fund, Johnson, Prim Escalona, Plump, Alabama, guilty",2024-03-12,171.13,-0.9492388724894453
2024-03-11,"Representative John Rogers released after week in Cullman County jail (WBRC FOX6 News) Alabama State Representative John Rogers has agreed to plead guilty in a fraud case involving the Jefferson County Community Service Fund, according to the U.S. Attorney’s Office in the Northern District of Alabama.
  According to U.S. Attorney Prim Escalona, Rogers will plead guilty to conspiracy to commit mail and wire fraud and conspiracy to obstruct justice in connection to a scheme to defraud the Jefferson County Community Service Fund.
  An indictment in the case claimed about $400,000 in tax dollars from the Jefferson County Community Service Fund was given to the Piper Davis Youth Baseball League, run by State Rep. Fred Plump, and the indictment says Plump kicked back almost $200,000 to Rogers and his personal assistant, Varrie Johnson Kindall.
  In February 2024, Rogers’ former assistant and companion, Varrie Johnson Kindall, pleaded guilty to conspiring with Rogers and Rep. Fred Plump Jr. to defraud the fund.",neutral,0.58,"U.S, fraud, guilty, Plump, Johnson, Northern District, Alabama, John Rogers, CET, Attorney, case, kickbacks, BIRMINGHAM, indictment, Fred Plump, Cullman County, Fund, Ala, Jefferson County, Prim Escalona, mail, WBRC, State, Rogers, County",2024-03-12,171.13,-0.9492388724894453
