Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-03-07,"Houston - A woman is facing charges after allegedly shooting a woman she was previously dating. According to the Houston Police Department, the victim and Decembly had been dating for several months, which had recently ended. An argument escalated after the victim went to Decembly's place to fight. Afterward, armed with the gun, Decembly came out, pursued the victim, and fired at least two more shots. Allegedly, the victim began to pound on the front door aggressively and ultimately broke a window using a brick.",neutral,0.67,"hospital, victim, Houston, Apple TV, District, argument, FOX, charges, shots, HOUSTON, Decembly, Amazon, aggravated assault, Google Android, Office for, Attorney, Harris County, window, pound, Roku, District Attorney, Richmond Avenue",2024-03-08,175.35,0.0
2024-03-07,"On March 7, 1970, North Carolina was experiencing a total solar eclipse!   Be sure to stay tuned to WFMY News 2 over the next month for more on the eclipse and how you can watch it here in the Triad.
   On March 7, 1970, North Carolina was experiencing a total solar eclipse!
   Download the WFMY News 2 APP from your Apple or Google Play store.
   In the days before, Patton showed our reporter various ways to watch a solar eclipse safely.
  ",neutral,0.58,"Google Play, next, News, Amazon Fire, North Carolina, telescope, eclipse, total, U.S, solar eclipse, Greensboro, Amazon, Jim Patton, Patton, diamond, Fire TV, binoculars, APP, solar, ROKU, N.C, Triad, WFMY, store, Apple, GREENSBORO",2024-03-08,175.35,0.0
2024-03-08,"From his breakthrough role in ""The Hangover"" to his Oscar-nominated turn in ""Maestro,"" here are the actor's finest films. In the hands of director Paul Thomas Anderson , any actor can be good, but Cooper feels like he walked out of the screen and into reality.
  Where to watch : Amazon Prime Video
   Netflix
  Clint Eastwood 's gritty crime drama (a drop in the actor/director's bucket, truly) sees Bradley Cooper play a DEA agent in a talented ensemble including Laurence Fishburne Michael Peña , and Dianne Wiest . Time will tell if this film will finally earn Cooper an Oscar (and he's up for multiple categories), but even if he doesn't walk away with a trophy, his performance will always be a cornerstone of his formidable career.
  Where to watch : Netflix
   Peter Lindbergh/Warner Bros.
  Bradley Cooper's best performance to date is also his most understated, playing a reserved and disturbed country artist who discovers a show-stopping singer ( Lady Gaga ) and embarks on a doomed love affair. He would of course improve his craft over time, but the absolute charisma Cooper possesses is clear at his career's onset, acting confident and smooth while still being too fresh-faced to do much else.
  Where to watch : Amazon Prime Video
   Alex Bailey/The Weinstein Company/Courtesy Everett
  Though it got a bad rap, this film about a drug-addicted chef on a redemption arc showcases the core tenets of Cooper's acting approach: he's meticulous, obsessive, and electric. He largely succeeds here, but this is a more serviceable vehicle for Eastwood by way of Eastwood.
  Where to watch : Netflix
   Warner Bros./Courtesy Everett
  Still the biggest creative gamble he's ever made, Cooper took on a more politically pointed role as Chris Kyle , a real-life religious soldier who stands for American values.",neutral,1,"Chris Kyle, left field, director, mold, 2001–2006, film, Marvel, Ahead, Max, Hollywood, Motion Pictures/Courtesy, Mitchell Haaseth, career, Pat Solitano, Jonah Hill, Everett, Todd Phillips, Disney, Oscar, Chris Pratt, water bed, Jennifer Garner, Tiffany, Award, Alana Haim, leading man, DEA, Tom Cruise, Peter Lindbergh, role, Amazon, Warner Bros, Sydney Bristow, CIA, anxiety, biopic, Old Hollywood, neo-noir, Alex Bailey, Maestro, hairdresser, Clint Eastwood, Emma Stone, Video, mentalist, Paramount, Phil, Frank Masi, raccoon, trophy, Iraq War, Cameron Crowe, Kerry, Academy, grace notes, circus, CGI, firearms dealer, dance, formidable, Jon Peters, bipolar disorder, flame, Ben, character, Netflix, composer, Miles Teller, David Wain, Bradley, crime drama, bank, A-list, Sony, actor, Zoe Saldana, Lady Gaga, sniper, Eastwood, Starz, rom-com, Neal Preston, Atsushi Nishijima, military contractor, Academy Award, energy, Focus Features, Philly cheesesteaks, Bradley Cooper, Dianne Wiest, star, Guillermo Del, Leonard Bernstein, Cooper, Getty Images, Hulu, astounding, Laurence Fishburne, Amy Poehler, Ryan Gosling, Time, juggling, Warner Bros., nail, Oscars, Warner, conductor, MGM, Barbra Streisand, radar, frequency, electricity, Entertainment Weekly, pitch, food truck, Gaga, Hawaii, double agent, Warner Bros./Courtesy, EW, Rachel McAdams, Rocket, Toro, bachelor party, Stephen Sondheim, Jennifer Lawrence, Matthew McConaughey, The Hangover, sci-fi, chef, Kerry Hayes, best, manic, Will Tippin, Michael Peña, shaggy, con artist, Phillips",2024-03-09,175.35,0.0
2024-03-08,"I’m a longtime Apple Watch user who is starting to see the appeal of smart rings after ignoring them for years. Image source: Oura

Regarding actual smart ring choices, you get to choose between the two Oura Ring 3 designs and their various finishing options.

 Regardless of design choice and finish, the Oura Ring 3 will offer the same set of health and fitness features. I’ll also note that Horizon is similar to Samsung’s Galaxy Ring ring design.

 The Oura Ring 3 Heritage and Horizon are made of titanium and have the same hardware capabilities.",neutral,0.92,"Ring ring, wearables, rose gold, US, Samsung, heart rate, Apple, titanium, Apple Watch, FDA, Galaxy Ring, health, Natural Cycles, Best Buy, birth control, fitness tracking, Privacy Notice, First, design, Ring 3, Apple Ring, Oura

Regarding, Oura, sleep, circle, Amazon, Oura Membership, smartphone, ring, Regardless, plateau, Heritage, Oura Ring, Galaxy, smart, tech, gold, Tech. Entertainment, stealth, Ring, Amazon US, stress, Horizon",2024-03-09,175.35,0.0
2024-03-09,"'Never lose site of the finish line.'   Business leaders did this in spades Saturday at SXSW when Ann Hiatt told them about the “DNA” it takes to become a “unicorn leader.”
   As she said via a quote by neuroscientist Dr. Robert Malenka: “Get into rigorous environments that challenge you and will build up a thick skin.”
  5) Unicorn leaders are smart, but in a specific and learned manner
  But Hiatt defined this as being able to “process massive amounts of information, distill it down to unique observations… Here are the 12 keys to being a “unicorn” leader that Hiatt passed along, many of which she learned on the job.
  1) “Agreeableness is a problem for innovation.” And diversity matters not just for inclusion, Hiatt said, but because “future opportunities inevitably lie outside of our current expertise.”
  8) Unicorn leaders understand that you have to challenge your mind.
  ",neutral,0.99,"Microsoft, Agreeableness, Canva, LinkedIn, social media, hip-hop, IBM, people, karate, spin, Bezos, leader, Marc Andreessen, Terence Reilly, brain, unicorn, Rian Johnson, SXSW, viral, Ann Hiatt, Google, DNA, Jeff Bezos, crucible, quote, Amazon, Utah, Post Malone, Force, moat, business class, Pixar, Greg Hoffman, leaders, Stanley, Jeff, Silicon Valley, creativity, thermos, Hiatt, star, Star Wars, social science, Business, huddle, pedestal, steel, Reilly, Audiobooks, Crocs, Socrates, Melanie Perkins, Eric Schmidt, kite, neuroscientist, Unicorn, Bet, Greek, self-help, CEO, venture capitalist, iPhone, business, Robert Malenka, Amazon Kindle, Satya Nadella, blue-collar, Ginny Rommity, Nike, Stanford, Queensbridge, Amazon Prime",2024-03-10,171.96,-1.3481727955940532
2024-03-09,"Some PlayStation Fans Are Not Happy About the Ghost of Tsushima The Steam discussions section of the Ghost of Tsushima PC version is rife with discontent, and some have directed their grievances toward Nixxes Software, the developers assisting Sony's studios with porting their first-party games to PC.
  Since 2020, PlayStation has been porting some first-party games from PlayStation Studios to PC. One specific user expressed feeling betrayed and is attempting to spearhead a campaign to prevent other players from buying Ghost of Tsushima on Steam, hoping to make Sony regret its decision to port first-party games to PC. Ghost of Tsushima is the next first-party Sony game coming to PC, though this news hasn't come without its share of backlash.
   Ghost of Tsushima is just one of Sony's first-party games that is coming to PC.",positive,0.49,"Marvel, God, Port, Nudity, Cut, Sakai, Helldivers, Souls, Nixxes, Studios, Gran Turismo, samurai, Twitter, PS Plus, ESRB, Amazon, Mongol, Sucker Punch, PlayStation, London, Demon, Jin, Ghost, keyboard, Tsushima Director, Gore, KJovian, jester, Bend Studios, Tsushima, Nixxes Software, Close, Steam, games, ported, Spider-Man, Sony Genre, open-world, game, Jin Sakai, fans, Iki Island, island, PlayStation blog, mechanics, PS4, Days Gone, port, Sony, mouse, Japanese, PlayStation Studios, PC",2024-03-10,171.96,-1.3481727955940532
2024-03-10,"Surgepays Inc (NASDAQ:SURG)'s traded shares stood at 0.66 million during the latest session, with the company's beta value hitting 1.58.
 Surgepays Inc (NASDAQ:SURG)'s Major holders
  Surgepays Inc insiders hold 34.01% of total outstanding shares, with institutional holders owning 8.11% of the shares at 12.30% float percentage. We also have Vanguard Total Stock Market Index Fund and Bridgeway Funds Inc-Ultra Small Company Fund as the top two Mutual Funds with the largest holdings of the Surgepays Inc (SURG) shares. Short interest in Surgepays Inc (NASDAQ:SURG) saw shorts transact 1.98 million shares and set a 2.18 days time to cover.
   Surgepays Inc has a forward dividend ratio of 0, with the share yield ticking at 0.00% to continue the rising pattern observed over the past year.",neutral,0.56,"trading, stock, 1.58, price, transact, Invest, Vanguard Group, total, peak, AI, Imagine, Buffett, Tesla, SURG Dividends, Vanguard, year, SURG, Jun, company, Jun 29, shares, NASDAQ, Surgepays, dividend, market valuation, Apple, Amazon, Revenue, dividend yield, Surgepays Inc, fiscal year",2024-03-11,175.39,1.0893371757924994
2024-03-10,"On Holding AG (NYSE:ONON) price on Friday, March 08, rose 2.61% above its previous day's close as an upside momentum from buyers pushed the stock's value to $32.85.
  If we refocus on On Holding AG (NYSE:ONON), historical trading data shows that trading volumes averaged 4.98 million over the past 10 days and 5.01 million over the past 3 months. The data shows that as of Feb 15, 2024 short interest in On Holding AG (ONON) stood at 10.42% of shares outstanding, with shares short rising to 27.91 million registered in Jan 12, 2024. Further, On Holding AG (ONON) has a beta value of 2.17, and an average true range (ATR) of 1.12.
   Turning to the stock's technical picture we see that short term indicators suggest on average that ONON is a 100% Buy.",neutral,0.93,"EPS, Wall Street, stock, AI, Holding AG, Tesla, Buffett, Revisions, PE ratio, trading, 5-Year, price, PE, The Relative, data, value, past, RSI, YTD, Holding, Imagine, Apple, fiscal year, market cap, ATR, Strength Index, ratio, ONON, Amazon, company, NYSE, Invest, 52-week, volatility",2024-03-11,175.39,1.0893371757924994
2024-03-11,"Oracle Corp. surged 11 per cent after signaling that growth in its closely watched cloud computing business is stabilizing, showing progress in its bid to capture more market share in the competitive market.
  It “finished moving the majority of Cerner customers” to Oracle cloud infrastructure in the quarter, Chairman Larry Ellison said. Chief Executive Officer Safra Catz pointed to this figure, which she said was driven by “large new cloud infrastructure contracts signed in the third quarter,” as evidence of customer momentum.
   The Austin-based company, known for its database software, is focused on expanding its cloud infrastructure business to compete with Amazon.com Inc., Microsoft Corp. and Alphabet Inc.'s Google. Total sales in the fiscal third quarter increased 7.1 per cent to $13.3 billion, roughly in line with analysts' estimates, according to data compiled by Bloomberg.",neutral,0.72,"Cloud, Oracle Health, Oracle Corp, Larry Ellison, Google, Safra Catz, market share, Catz, iShares, Jeffries, Microsoft, Amazon.com Inc, Wall Street, Amazon.com Inc., legacy software, Cerner, data centers, Austin, corporate finance, quarter, NetSuite, company, software, cloud computing, Oracle, Amazon, ETF, business, growth, Brent Thill, cloud, Bloomberg, cent, Alphabet Inc., Bloomberg TV, Oracle Corp.",2024-03-12,176.555,0.3723706651506544
2024-03-11,"Everyone needs sleep. Mavogel
  Mavogel Cotton Sleep Eye Mask
    Save $10
  Five layers of cushy, breathable material and two special cotton triangles on each side make for sound, deep, satisfying sleep.
  $10 at Amazon
  Why is this a good deal?
   ""I had other sleep masks I bought on Amazon that were cheap and fell apart,"" wrote one now-sound sleeper . Made of five layers of super-breathable fabric, the Mavogel Cotton Sleep Mask is one way to block out pesky streams of light and yes, shoppers say it really does block out ""all light,"" allowing you to fall asleep in complete darkness.
   ""
  ""Buy it!"" urged a fan who uses the mask to get sleep while traveling.",neutral,0.98,"sleep aid, Broken, Retinol, sleep, bridge, seal, See, Maybelline Instant, cotton, Maybelline, Vegpoet Noise-Canceling, Eraser, Blackout, Concealer
    Save, Sleep, mold, sleep mask, Amazon Prime, sleep medicine, fabric, Sampeel, earplugs, stress, snoring, warm., coupon, Amazon, immune system, time, Cream, blinds, more, Artnaturals Anti-Aging, board-certified, Save, Crazy, mask, Womens Short",2024-03-12,176.555,0.3723706651506544
