Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-03-07,"A United Airlines Boeing 777 plane has landed safely at LAX around 1:20 p.m after losing a tire shortly after takeoff at San Francisco International Airport.
  The aircraft is designed to land safely with missing or damaged tires,"" United said in a statement. United flight 35 was headed to Japan with a total of 249 people on board.
   ""The 777-200 has six tires on each of its two main landing gear struts.",neutral,0.45,"United, LAX, total, landing, Boeing 777, Boeing, San Francisco, The 777-200, people, 777, Japan, tires, landing gear, struts, tire, board, Francisco, United Airlines",2024-03-08,198.49,0.0
2024-03-07,"A United Airlines Boeing 777 plane landed safely at LAX around 1:20 p.m after taking off from San Francisco International Airport.
  United stated that a new aircraft will take over the flight.
   The aircraft is designed to land safely with missing or damaged tires,"" United said in a statement. United flight 35 headed to Japan, had a total of 249 people on board. ""The 777-200 has six tires on each of its two main landing gear struts.",neutral,0.53,"Boeing, 777, main, Francisco, United, landing, San Francisco, Japan, board, Airlines, Boeing 777, LAX, flight, tires, aircraft, landing gear, tire, plane, United Airlines",2024-03-08,198.49,0.0
2024-03-08,"Research Frontiers Incorporated (NASDAQ: REFR ) Q4 2023 Earnings Call Transcript March 7, 2024
 Research Frontiers Incorporated isn't one of the 30 most popular stocks among hedge funds at the end of the third quarter ( see the details here
  Operator: Good afternoon, ladies and gentlemen. We're quite excited about it because it has the enormous revenue potential for Research Frontiers and our licensees, and also makes incorporating or adding a smart window system to any home or building in the world a much easier decision. And with the new retrofit applications for SPD-SmartGlass, the broader market for homes, office buildings, and apartments now becomes wide open. In terms of reliability and confidence, SPD-Smart technology is the longest smart glass technology being used in cars and aircraft, and even architectural applications, which up until recently was something we didn't speak about too much. This has opened up the architectural markets with new products, including an elegant and easy to implement retrofit solution with the potential to dramatically reduce the costs and streamline the installation process of smart windows throughout the world.",neutral,0.7,"glass, conference call, Hitachi Chemical, questions, Gauzy, marine, President, John Nelson, augmented reality, war, energy, Paul, today, tax credit, Boeing, Operator Instructions, Q&A Session, Alan Ginsberg, architectural glass, energy efficiency, hog, butter, NASDAQ, Ferrari, SPD, GSA, Hitachi, Asia, operator, smart glass, MD&A, Harary, year, bread, South Korea, economics, Joe, Ted Campbell, Chuck, McLaren, safe harbor, Board, Gerald Sherman, Research Frontiers, breakeven, SEC, United States, royalties, Israel, SPD-SmartGlass, SmartGlass, Operator, Purosangue, landlord, China, skylight, Robert B, accounting, Federal Court, smart windows, law firm, licensees, scaffolding, intellectual property, Alan, Homes, Steve, Ted, Private Investor, Q&A, Jeff H, Antarctica, Germany, SPD., attorney, blinds, U.S, Bob P, frequency, hedge funds, Airbus, Chuck M, Research, Hyundai, Florida, Jeff, electricity, Frontiers, workflow, Europe, bank, Vision Systems, Joe Harary, Showa Denko, Next, Mercedes, France",2024-03-09,198.49,0.0
2024-03-08,"(TND) — United Airlines has responded to several incidents involving flights this past week. A plane engine caught fire in midair on Monday, a different plane lost a tire during a flight on Thursday and as of Friday, officials are still investigating the grounding of a flight in Houston.
  reached out to United Airlines Friday morning to ask for further details, and explained each situation below with their response.
   A United Airlines flight from Houston to Fort Myers, Texas, was forced turn around after one of the plane's engines caught fire midair on Monday.
   Passengers aboard Flight 2477 from Memphis, Tennessee, were evacuated from a United Airlines plane after it rolled off a runway and got stuck in the grass in Houston on Friday morning.
   No injuries were reported among the 160 passengers and six crew members, United Airlines said in a statement.",negative,0.69,"Memphis, Tennessee, Airport, 737-900, flight, San Francisco, tire, United, landing gear, Houston, Memphis, FlightAware, Flight 2477, Boeing 737-900, Associated Press, Boeing, Los Angeles, Friday, Airlines, Flight 1118, landing, Texas, plane, Passengers, United Airlines, Japan, Tennessee, Fort Myers, airline, grass",2024-03-09,198.49,0.0
2024-03-09,"The company said it believes the records about the panel's removal and reinstallation were never created, even though Boeing's systems required it.
  The safety board's chair, Jennifer Homendy, testified that for two months Boeing repeatedly refused to identify employees who work on door panels on Boeing 737s and failed to provide documentation about a repair job that included removing and reinstalling the door panel.
   SEATTLE — Boeing has acknowledged in a letter to Congress that it cannot find records for work done on a door panel that blew out on an Alaska Airlines flight over Oregon two months ago.
   The rivet repairs were done by contractors working for Boeing supplier Spirit AeroSystems, but the NTSB still does not know who removed and replaced the door panel, Homendy said Wednesday.
   Until the hearing, it said, “Boeing was not aware of any complaints or concerns about a lack of collaboration.”
  Boeing has been under increasing scrutiny since the Jan. 5 incident in which a panel that plugged a space left for an extra emergency door blew off an Alaska Airlines Max 9.",neutral,1,"SEATTLE, Homendy, Max 9, panel, last, quality management, Max, door, Congress, 737s, Democrat, company, documentation, lobbyist, Jennifer Homendy, Renton, 48 hours, Alaska, Boeing, Alaska Airlines, Washington, Renton, Washington, AeroSystems, quality assurance, Spirit AeroSystems, NTSB, Ziad Ojakli, MAX, Maria Cantwell, Oregon, safety, 737 MAX, The panel, rivet, Cantwell, Spirit, Senate",2024-03-10,192.49,-0.8856392564749491
2024-03-09,"The company said it believes the records about the panel’s removal and reinstallation were never created, even though Boeing’s systems required it.

 The safety board’s chair, Jennifer Homendy, testified that for two months Boeing repeatedly refused to identify employees who work on door panels on Boeing 737s and failed to provide documentation about a repair job that included removing and reinstalling the door panel.

 Example video title will go here for this video

Example video title will go here for this video

SEATTLE — Boeing has acknowledged in a letter to Congress that it cannot find records for work done on a door panel that blew out on an Alaska Airlines flight over Oregon two months ago.

 The rivet repairs were done by contractors working for Boeing supplier Spirit AeroSystems, but the NTSB still does not know who removed and replaced the door panel, Homendy said Wednesday.

 Until the hearing, it said, “Boeing was not aware of any complaints or concerns about a lack of collaboration.”

Boeing has been under increasing scrutiny since the Jan. 5 incident in which a panel that plugged a space left for an extra emergency door blew off an Alaska Airlines Max 9.",neutral,1,"Ziad Ojakli, company, documentation, 48 hours, Cantwell, door, Max, panel, Senate, Example, Jennifer Homendy, Spirit AeroSystems, SEATTLE, Max 9, Washington, Renton, Washington, rivet, NTSB, Boeing, 737s, safety, Renton, The panel, Alaska Airlines, lobbyist, AeroSystems, Alaska, MAX, Congress, quality assurance, quality management, last, Spirit, Homendy, Oregon, 737 MAX, Democrat, Maria Cantwell",2024-03-10,192.49,-0.8856392564749491
2024-03-10,"“Today was a great day for the Stratolaunch team. Interested media outlets can join the conference via Zoom by clicking here
  About Stratolaunch Stratolaunch's mission is to advance high-speed technology through innovative design, manufacturing, and operation of world-class aerospace vehicles. The successful outcome of the test is a direct result of the team's technical prowess and professionalism,” said Dr. Zachary Krevor, Chief Executive Officer for Stratolaunch. We are excited to review the data from today's test and use it as we plan our next steps toward TA-2's first flight later this year,” Dr. Krevor said.
   “While I can't share the specific altitude and speed TA-1 reached due to proprietary agreements with our customers, we are pleased to share that in addition to meeting all primary and customer objectives of the flight, we reached high supersonic speeds approaching Mach 5 and collected a great amount of data at an incredible value to our customers.”
 “Our goal with this flight was to continue our risk reduction approach for TA-2's first reusable flight and be steadfast on our commitment of delivering maximum value to our customers.",neutral,0.99,"Stratolaunch, great, flight, customers, Boeing 747-400, press, team, Twitter, supersonic, 747-400, Stratolaunch Celebrates, Mach, Mojave, Instagram, Facebook, Krevor, LinkedIn, aerospace, Talon, Boeing, Zachary Krevor, manufacturing, Test Vehicle, TA-2, test, Test, company, Zoom",2024-03-11,184.24,-2.1223470661672934
2024-03-10,"Left  Center   What are the FAA and NTSB doing in response to the incident?
  How were passengers evacuated from the aircraft after the incident?
  Ground News Article Assistant
  How many incidents involving Boeing jets operated by United Airlines have occurred within a week of this latest incident?
   What are the FAA and NTSB doing in response to the incident?
  How were passengers evacuated from the aircraft after the incident?
  Ground News Article Assistant
  How many incidents involving Boeing jets operated by United Airlines have occurred within a week of this latest incident?
   How many incidents involving Boeing jets operated by United Airlines have occurred within a week of this latest incident?
   The incident involved a Boeing 737 Max 8 aircraft, as confirmed by the Houston Airport System and United Airlines.
  ",neutral,0.59,"Airport, Bias Distribution, Memphis, passengers, United, Boeing, Center, FAA, NTSB, Upgrade, Ground AI, AI, Insights, Bias, Tennessee, Airlines, Center
  Ownership, United Airlines, Intercontinental Airport, Memphis, Tennessee, Ownership, Left  Center",2024-03-11,184.24,-2.1223470661672934
2024-03-11,"The latest on investigations into Boeing over Alaska Airlines door blowout Multiple agencies are investigating Boeing over the Jan. 5 Alaska Airlines mid-air door blowout, including the Justice Department. CBS News senior transportation correspondent Kris Van Cleave has the latest.",neutral,0.51,"Airlines, correspondent, senior, Justice Department, CBS News, Department, door, Kris, Multiple, latest, blowout, News, Alaska Airlines, transportation, Boeing",2024-03-12,182.35,-0.4422362961345285
2024-03-11,"At least 50 people have been hurt when a Boeing 787 operated by LATAM Airlines dropped abruptly mid-flight from Sydney to Auckland, according to the airline and a New Zealand health service organisation that treated the injured.
 ",neutral,0.5,"Zealand, organisation, permissions, more, Auckland, Boeing, service, airline, health, Sydney, flight, Boeing 787, LATAM Airlines, New Zealand",2024-03-12,182.35,-0.4422362961345285
