Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-03-07,"EU official Thierry Breton said regulators are looking into Apple's termination of a competing app store by Fortnite creator Epic Games. The EU on Thursday said it would look into an ongoing dispute between tech giant Apple and Epic Games, the developer of the popular Fortnite video game franchise.

 ""Under the DMA, there is no room for threats by gatekeepers to silence developers, European Commissioner for Internal Market Thierry Breton wrote on X. ""I have asked our services to look into Apple's termination of Epic's developer account as a matter of priority. EU cracking down on digital 'gatekeepers'

The DMA will put Apple and other big tech companies under growing scrutiny in the coming months. The tech giant says that due to a earlier court decision, ""Apple has the right to terminate 'any or all of Epic Games' wholly owned subsidiaries, affiliates and/or other entities under Epic Games' control at any time and at Apple's sole discretion.""

Epic Games CEO Tim Sweeney told journalists Wednesday that there needs to be ""swift action"" regarding Apple's alleged violation of the DMA.

",neutral,0.55,"Microsoft, iOS, Epic Games, AFP, DMA, Alphabet, Tim Sweeney, Google, The tech, gatekeepers, video game, European Commissioner, Reuters, IOS, Europe, EU regulation, digital, Amazon, AP, users, services, Meta, Games, Fortnite, developer, Thierry Breton, CEO, malware, EU, European, Apple, other, regulation, TikTok, app store, Epic",2024-03-08,406.22,0.0
2024-03-07,"Fourth Quarter Revenue of $263 Million and Fiscal 2024 Revenue of $1.04 Billion, In Line with Guidance
New $100 Million Expansion of Stock Repurchase Program REDWOOD CITY, Calif. – March 05, 2024 — / BackupReview.info / — Box, Inc. (NYSE:BOX), the leading Content Cloud, today announced preliminary financial results for the fourth quarter and fiscal year 2024, which ended January 31, 2024.
  Forward-Looking Statements This press release contains forward-looking statements that involve risks, uncertainties, and assumptions, including statements regarding Box’s expectations regarding its growth and profitability, the size of its market opportunity, its investments in go-to-market programs, the demand for its products, the potential of AI and its impact on Box, the timing of recent and planned product introductions, enhancements and integrations, the short- and long-term success, market adoption and retention, capabilities, and benefits of such product introductions and enhancements, the success of strategic partnerships, the impact of macroeconomic conditions on its business, its ability to grow and scale its business and drive operating efficiencies, the impact of fluctuations in foreign currency exchange rates on its future results, its net retention rate, its ability to achieve revenue targets and billings expectations, its revenue and billings growth rates, its ability to expand operating margins, its revenue growth rate plus free cash flow margin in fiscal year 2025 and beyond, its long-term financial targets, its ability to maintain profitability on a quarterly or ongoing basis, its free cash flow, its ability to continue to grow unrecognized revenue and remaining performance obligations, its revenue, billings, GAAP and non-GAAP gross margin, GAAP and non-GAAP net income (loss) per share, GAAP and non-GAAP operating margins, the related components of GAAP and non-GAAP net income (loss) per share, weighted-average outstanding share count expectations for Box’s fiscal first quarter and full fiscal year 2025 in the section titled “Outlook” above, equity burn rate, any potential repurchase of its common stock, whether, when, in what amount and by what method any such repurchase would be consummated, and the share price of any such repurchase. About Non-GAAP Financial Measures and Other Key Metrics To supplement Box’s consolidated financial statements, which are prepared and presented in accordance with GAAP, Box provides investors with certain non-GAAP financial measures and other key metrics, including non-GAAP gross profit, non-GAAP gross margin, non-GAAP operating income (loss), non-GAAP operating margin, non-GAAP net income (loss) attributable to common stockholders, non-GAAP net income (loss) per share attributable to common stockholders, billings, remaining performance obligations, non-GAAP free cash flow and free cash flow margin. Box defines non-GAAP net income (loss) attributable to common stockholders as GAAP net income (loss) attributable to common stockholders excluding expenses related to SBC, intangible assets amortization, amortization of debt issuance costs, the income tax benefit from the release of a valuation allowance on deferred tax assets, undistributed earnings attributable to preferred stockholders, and as applicable, other special items as described in the preceding paragraph. Non-GAAP net income per share attributable to common stockholders in the fourth quarter of fiscal year 2024 includes a negative impact of $0.02 year-over-year from unfavorable foreign exchange rates.",neutral,0.67,"Morgan Stanley, Redwood City, gross profit, Hamas, Crooze, basis points, NYSE, CITY, workflow, @boxincir, FDA, GAAP, Quarterly Report, JLL, CEO, @box, Form, Best Companies, business, fiscal year, U.S, Investor Relations, Box Consulting, GAAP. Additionally, GAAP EPS, SEC, AstraZeneca, Box Sign, Calif, Apple, operating income, Cloud, basis point, FY24, release, RPO, financial, United States, management, revenue, Europe, Asia, Non-GAAP, Box Platform, SBC, available, income tax, Box Shield, information, cloud, United Kingdom, Aaron Levie, Canada, nonprofit, press, Billings, U.S. Department, headwind, CFO, document management, Microsoft, Russia, U.S. dollar, currency, foreign exchange, BOX, INC, Guidance Revenue, Japan, Box, Elf Cosmetics, Air Force, visionOS, CA, FY25, AI, EPS, Regulation FD, Ukraine, net income, child welfare, Enterprise, Dylan Smith, Japanese Yen, Microsoft Azure, FX, privacy, macroeconomic, Forward-Looking, Great Place, Yen, Admins, Box AI, Acquired Crooze, REDWOOD CITY, IQVIA, Weighted",2024-03-08,406.22,0.0
2024-03-08,"(Exact name of registrant as specified in charter)   Specifically, the Board requested and received written materials from the Adviser and other service providers of the Fund regarding:
 (i) the nature, extent and quality of the Adviser's services; (ii) the Adviser's investment management personnel; (iii) the Adviser's operations and financial condition; (iv) the Adviser's brokerage practices
 (including any soft dollar arrangements) and investment strategies; (v) the Fund's advisory fee paid to the Adviser and overall fees and operating expenses compared with a peer group of mutual funds; (vi) the level of the
 Adviser's profitability from its relationship with the Fund, including both direct and indirect benefits accruing to the Adviser and its affiliates; (vii) the Adviser's potential economies of scale; (viii) the Adviser's
 compliance program, including a description of material compliance matters and material compliance violations; (ix) the Adviser's policies on and compliance procedures for personal securities transactions; and (x) the Fund's
 performance compared with a peer group of mutual funds and the Fund's benchmark index.
   To the Board of Trustees of The Advisors' Inner Circle Fund and Shareholders of Sarofim Equity Fund
  We have audited the accompanying statement of assets and liabilities, including the schedule of investments, of Sarofim Equity Fund (one of
 the funds constituting The Advisors' Inner Circle Fund, referred to hereafter as the “Fund”) as of December 31, 2023, the related statement of operations for the year ended December 31, 2023, the statements of changes in net
 assets for each of the two years in the period ended December 31, 2023, including the related notes, and the financial highlights for each of the five years in the period ended December 31, 2023 (collectively referred to as the
 “financial statements”). Stephen F. Panner
  (Born: 1970)
  Chief Compliance Officer
  (since 2022)
  Chief Compliance Officer of SEI Asset Allocation Trust, SEI Daily Income Trust, SEI Institutional Investments Trust, SEI Institutional International Trust, SEI Institutional Managed Trust, SEI
 Tax Exempt Trust, Adviser Managed Trust, New Covenant Funds, SEI Catholic Values Trust, SEI Exchange Traded Funds, SEI Structured Credit Fund LP, The Advisors' Inner Circle Fund, The Advisors' Inner Circle Fund II, The Advisors' Inner
 Circle Fund III, Bishop Street Funds, Frost Family of Funds, Gallery Trust, Delaware Wilshire Private Markets Fund, Delaware Wilshire Private Markets Master Fund, Delaware Wilshire Private Markets Tender Fund and Catholic Responsible Investments
 Funds since September 2022. In considering the renewal of the Agreement, the Board considered various factors that they determined were relevant, including:
 (i) the nature, extent and quality of the services provided by the Adviser; (ii) the investment performance of the Fund and the Adviser; (iii) the costs of the services provided and profits realized by the Adviser from its
 relationship with the Fund, including both direct and indirect benefits accruing to the Adviser and its affiliates; (iv) the extent to which economies of scale are being realized by the Adviser; and (v) whether fee levels reflect such
 economies of scale for the benefit of Fund investors, as discussed in further detail below.
  ",neutral,0.83,"Level 1, Amazon.com, year, Report, AstraZeneca PLC, FASB, Marriott, Marriott International, Partner, Audit, Washington, DC, South Africa, S&P Global, Amended, Investment Operations, 1111 Pennsylvania, Audit Committee, Apple Inc., Dividends, Comcast, Cold War, Representatives, Oaks, Treasurer, Self-Employed Consultant, Philadelphia, Privacy Coordinator, Krikorian, Chevron, Supervising Principal, Payable, Estee Lauder, US, Administrator, Houston, Blank, Distributions, BlackRock, GDP, Policy, selection effects, LLP, Nestle, International
 Consulting, Monica Walker, “Board, Rule 30a-3(b, Set, Retired, Inflation, December, financial statements, Morningstar, Inc, financial market, Apple Inc, Fayez Sarofim, DC, market, calculus, lens, Level 2, Nesher, Rule 30a-3(d, Denotes Trustees, SEI
 Investments, Anti-Money Laundering, Houston Center, NASDAQ, Stradley Ronon, LLC, Registrant, † Percentages, Withheld, Federal, Amazon.com Inc, PepsiCo, Advisors, DC. Information, Topic 946, P.O. Box, liquidity, UK, Mastercard, Jr, Pursuant, Intercontinental Exchange, Treasury bond, geopolitical, monetary policy, Oaks, PA, E&Y, augur, securities, Intuit, Directorships, Lipper, hiking, N.W, receivership, Assistant, horizon, Kansas City, Air Products, AXA-Equitable, Requests, SEC, General Counsel, Louis Vuitton, Fund Accounting, The Trust, Klauder, Custodian, Nvidia, PRUCO Securities, The Board, Services, Abbott Laboratories, Registrant
 for, “Committee, SEI, None, Gallery Trust, investment, Texas Instruments, Consistent, CFO, None
  Notes, Distributor, Exact, ChatGPT, TX, Adviser, RTX Corp, Amazon.com Inc., Investing, artificial intelligence, PricewaterhouseCoopers LLP, Committee, UnitedHealth Group, PwC, Robert Nesher, Apple, Delaware, Form N-PORT, Portland, “Magnificent 7, Officer, None
  None, Christopher Sarofim, interest rate, Pennsylvania, The Fund, PCAOB, Board, Level 3, LVMH, Tesla, macroeconomic, Investments, underweight, Realized, Expenses
    Less, Manulife Financial, LLC (Chicago, Frost Family, NIKE, Global Head, U.S, 8 Portfolios, Europe, Berkshire Hathaway, market cap, James Bernstein, Suite 2907, Sherwin-Williams, recession, S&P 500, Certain, e)(1, financial, Limited, Massachusetts, U.S. Government, Exxon Mobil, bullish, Coca-Cola Company, Date, Canadian Pacific, Hathaway, Federal Reserve, ADR, John Bourgeois, Robert Morrow, Microsoft Corporation, GAAP, CME Group, Rule 2a-5, fiscal year, volatility, The
 Board, BAE Systems, Watergate, Treasury, Embark, stock market, Michael Beattie, Lower, Microsoft, U.S. economy, Rome LLP, Middle East, accounting, 12-month, Fed, Alphabet Inc, Associate Counsel, Robert Mulhall, earnings growth, Current, Novo Nordisk, SEI Investments, Alphabet Inc., Rule 15d-15(b, Bruce Speca, Controller, health care, None
    None, labor market, CCO, Donald Duncan, Abetted, Alphabet, Fund, Coca-Cola, Loss, CPI, Washington, Mulhall, McDonald, pricing power, S&P, “Administrator, China, Amazon, Chevron Corporation, A
     Adobe, EOG Resources, Chemicals
    Sherwin-Williams, energy, SAI, Kathleen Gaffney, SAR-AR-001-1000, INNER CIRCLE, Client Service, Union Pacific, Trustees, Meta, RTX, Trust, formula, ET, United States, Gentry Lee, Beneficial Interest, Zip, Managed Trust, Counsel, investment adviser, Vanguard, Independent Trustees, Trustee, Andrew Metzger, inflation, Ukraine, Rule 13a-15(b",2024-03-09,406.22,0.0
2024-03-08,"Apple deals are heating up this weekend, as the launch of the M3 MacBook Air drives prices down to record-low levels on M2 models. Today's best deals include Apple products, complementary displays, and software tools ranging from Microsoft Office to TurboTax tax prep titles. Plus, grab an external display at up to $750 off.",positive,0.74,"Microsoft Office, deals, prep, titles, MacBooks, Apple, record, prices, Office, Reading, TurboTax, M2, instant, MacBook Air, Weekend, promo, AppleInsider, Continue Reading",2024-03-09,406.22,0.0
2024-03-09,"'Never lose site of the finish line.'   Business leaders did this in spades Saturday at SXSW when Ann Hiatt told them about the “DNA” it takes to become a “unicorn leader.”
   As she said via a quote by neuroscientist Dr. Robert Malenka: “Get into rigorous environments that challenge you and will build up a thick skin.”
  5) Unicorn leaders are smart, but in a specific and learned manner
  But Hiatt defined this as being able to “process massive amounts of information, distill it down to unique observations… Here are the 12 keys to being a “unicorn” leader that Hiatt passed along, many of which she learned on the job.
  1) “Agreeableness is a problem for innovation.” And diversity matters not just for inclusion, Hiatt said, but because “future opportunities inevitably lie outside of our current expertise.”
  8) Unicorn leaders understand that you have to challenge your mind.
  ",neutral,0.99,"Microsoft, Agreeableness, Canva, LinkedIn, social media, hip-hop, IBM, people, karate, spin, Bezos, leader, Marc Andreessen, Terence Reilly, brain, unicorn, Rian Johnson, SXSW, viral, Ann Hiatt, Google, DNA, Jeff Bezos, crucible, quote, Amazon, Utah, Post Malone, Force, moat, business class, Pixar, Greg Hoffman, leaders, Stanley, Jeff, Silicon Valley, creativity, thermos, Hiatt, star, Star Wars, social science, Business, huddle, pedestal, steel, Reilly, Audiobooks, Crocs, Socrates, Melanie Perkins, Eric Schmidt, kite, neuroscientist, Unicorn, Bet, Greek, self-help, CEO, venture capitalist, iPhone, business, Robert Malenka, Amazon Kindle, Satya Nadella, blue-collar, Ginny Rommity, Nike, Stanford, Queensbridge, Amazon Prime",2024-03-10,404.52,0.1877343583596231
2024-03-09,"NEW YORK — The small group of stocks that's been driving Wall Street to records is getting even smaller.
  A site just for our local community
  ✔ Focused on facts, not misinformation
  ✔ Free for everyone
  What's NABUR? Alphabet, Amazon, Apple, Meta Platforms, Microsoft, Nvidia and Tesla alone accounted for 62% of the S&P 500's return last year, including dividends.
   Please disable your ad blocker, whitelist our site, or purchase a subscription
  Better than a comments section
  Discuss the news on NABUR,
  a place to have local conversations
  The Neighborhood Alliance for Better Understanding and Respect
  ✔ Ads are being blocked by your browser.
  ",positive,0.6,"Microsoft, Tesla, Magnificent, U.S, NABUR, Wall, Magnificent Seven, Nvidia, Free, Better, facts, Meta Platforms, Amazon, local, Wall Street, stock market, return, “Magnificent Seven, site, Discuss, Apple, S&P 500, year, Street, NEW YORK",2024-03-10,404.52,0.1877343583596231
2024-03-10,"Welcome to your week 10 recap. Official Samsung Galaxy A55 and A35 images leak, confirm some details
  The design on both phones is nearly identical, but they have different screens, cameras and chipsets.
   Nothing Phone (2a) in for review
  The long-awaited and stylish upper midranger is here!
  SAmsung's Galaxy A55 and Galaxy A35 will become official next week on March 11. We also saw official-looking press renders, and have a good idea that the Galaxy A55 will use an Exynos 148-, while the A35 will opt for an Exynos 1380. Samsung Galaxy F15 is now official with 6,000 mAh battery, Android 14
  It goes on sale on March 11 but there's an ""early sale"" today.
  ",neutral,0.83,"LED, CAD, A55, iPhone 14, Windows, Galaxy A35, Exynos, OLED, Samsung Galaxy, Snapdragon, 6.6-inch, Phone, design, INR 23,999, GB, Android, Now, Android 14, chipset, official, renders, iPhone SE, Galaxy A55, early, Glyph, Galaxy, Eyes, AMOLED, phone, Apple, SAmsung, INR, iPhone, ultrasonic, FaceID, TSMC, battery, button, Super AMOLED, Microsoft, fingerprint scanner, A35, OnePlus, Belgian, flagship, Samsung",2024-03-11,415.28,1.879201216819579
2024-03-10,"How DMA gatekeepers are respon

The compliance deadline for the six tech giants regulated under the European Union’s Digital Markets Act (DMA) expired yesterday. The bloc will monitor whether they’re abiding by DMA requirements to deal fairly with business users of their regulated […]

© 2024 TechCrunch.",neutral,0.58,"ByteDance/TikTok, Alphabet, yesterday, Google, ByteDance, Microsoft, DMA, European Union, Meta, assessment, requirements, Alphabet/Google, Amazon, EU, enforcers, Apple, TechCrunch, business, bloc, users",2024-03-11,415.28,1.879201216819579
2024-03-11,"Oracle Corp. surged 11 per cent after signaling that growth in its closely watched cloud computing business is stabilizing, showing progress in its bid to capture more market share in the competitive market.
  It “finished moving the majority of Cerner customers” to Oracle cloud infrastructure in the quarter, Chairman Larry Ellison said. Chief Executive Officer Safra Catz pointed to this figure, which she said was driven by “large new cloud infrastructure contracts signed in the third quarter,” as evidence of customer momentum.
   The Austin-based company, known for its database software, is focused on expanding its cloud infrastructure business to compete with Amazon.com Inc., Microsoft Corp. and Alphabet Inc.'s Google. Total sales in the fiscal third quarter increased 7.1 per cent to $13.3 billion, roughly in line with analysts' estimates, according to data compiled by Bloomberg.",neutral,0.72,"Cloud, Oracle Health, Oracle Corp, Larry Ellison, Google, Safra Catz, market share, Catz, iShares, Jeffries, Microsoft, Amazon.com Inc, Wall Street, Amazon.com Inc., legacy software, Cerner, data centers, Austin, corporate finance, quarter, NetSuite, company, software, cloud computing, Oracle, Amazon, ETF, business, growth, Brent Thill, cloud, Bloomberg, cent, Alphabet Inc., Bloomberg TV, Oracle Corp.",2024-03-12,415.1,-0.7175316909830184
2024-03-11,"Loading... Loading...

Stanley Druckenmiller is one of the most successful investors of all time, with a net worth of nearly $6.2 billion. Deutsche Bank analyst Peter Milliken also issued a Buy rating on CPNG stock last month with a price target of $21, indicating a potential upside of over 11%.

 The company's strong financials, despite macroeconomic headwinds, make it a promising retail stock, as Barclays analyst John Shao issued an Overweight rating on Coupang. The company has a sizable stake in the viral generative AI platform ChatGPT creator OpenAI, which generated $1.6 billion in annual revenues in 2023, less than a year since its launch. Truist Securities also has an Outperform rating on the Magnificent Seven stock with a price target of $600, reflecting a potential upside of nearly 50%.

",neutral,0.69,"Overweight, accounting, Warren Buffett, European Union, George Soros, sleep, Founder, revenues, Truist Securities, Soros, WOW, Shao, real estate, gross profit, Nasdaq, macroeconomic, antitrust, Microsoft, Mistral AI, Wall Street, Shares, Wedbush, Magnificent Seven, Deutsche Bank, stake, landlord, Jeff Bezos, Investing, Peter Milliken, EPS, Barclays, stock, company, Nasdaq Composite, MSFT, John Shao, Bom Kim, ChatGPT, Stanley Druckenmiller, Check, Druckenmiller, Elon Musk, AI, viral, Coupang, CEO, Start, portfolio, total, CAGR, hedge fund, year, pound, French, large-cap, Outperform, Duquesne, Benzinga, OpenAI, generative, CPNG, Buy, net worth, Read Next, passive income, artificial intelligence, Secret Sauce, billionaire",2024-03-12,415.1,-0.7175316909830184
