Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-03-07,"Ed Ludlow  | Bloomberg  Rivian Automotive Inc. is halting plans to build a multibillion-dollar factory in Georgia, an abrupt reversal
aimed at cutting costs while the company prepares to launch a cheaper electric vehicle.
   Rivian, one of the few pure-play EV makers manufacturing in America, is trying to grab market share from Tesla Inc. with the new model, its first aimed at the mass market. Rivian currently makes two consumer plug-in EVs, the R1T pickup and R1S SUV, and a commercial van primarily for Amazon.com Inc., its biggest shareholder. Shifting planned production of the forthcoming R2 model to an existing facility in Illinois will allow Rivian to begin deliveries in the first half of 2026, earlier than expected. Rivian said this model would be priced lower than the R2, without giving a dollar amount or timeline for when it might be built.
  ",neutral,0.97,"The retreat, SUV, Normal, Illinois, China, company, Ed Ludlow, sticker price, Scaringe, Rivian, Inc., mass production, BYD, Illinois, Georgia, BYD Co, R1, battery pack, more, Normal, U.S, Tesla Inc., R3, Tesla Inc, model, Bloomberg, R2, Amazon.com Inc., pickup, biggest, Amazon.com Inc, Ludlow, production, autonomous technology, America, Atlanta, RJ Scaringe, vehicle, automaker, market share, Tesla, Shares, plug-in",2024-03-08,175.34,0.0
2024-03-07,"By Ed Ludlow | Bloomberg

Rivian Automotive Inc. is halting plans to build a new multibillion-dollar factory in Georgia, an abrupt reversal aimed at cutting costs while the company prepares to launch a cheaper electric vehicle.

 (Photo courtesy of Rivian Automotive)

Irvine-based Rivian Automotive on Thursday, March 7 unveiled its R2, a mid-sized electric SUV that starts at around $45,000. (Photo courtesy of Rivian Automotive)

Irvine-based Rivian Automotive on Thursday, March 7 unveiled its R2, a mid-sized electric SUV that starts at around $45,000. Rivian’s Chief Executive Officer RJ Scaringe said this model would be priced lower than the R2, without giving a dollar amount or timeline for when it might be built. Rivian’s Chief Executive Officer RJ Scaringe said this model would be priced lower than the R2, without giving a dollar amount or timeline for when it might be built.",neutral,0.69,"The retreat, SUV, China, company, Irvine, Ed Ludlow, sticker price, Illinois, Rivian, mass production, BYD Co, BYD, Rivian Automotive, Georgia, tax credit, Scaringe, battery pack, Theodore Parisienne, more, Tesla Inc., R3, Tesla Inc, model, Automotive, Bloomberg, R2, demand, Ludlow, production, US, autonomous technology, America, Photo, Atlanta, RJ Scaringe, vehicle, automaker, market share, Tesla, Shares, Karma",2024-03-08,175.34,0.0
2024-03-08,"While EV manufacturing expenses have been a consistent roadblock for automakers, new research claims hope is on the horizon.
 The EV optimism follows more recent Gartner research that estimates electric car shipments will increase 19% in 2024 over last year’s numbers, to a total of 18.4 million. Investors seeking to capitalize on potential growth in the EV market could find great appeal in the KraneShares Electric Vehicles & Future Mobility Index ETF (KARS).
  While the start of 2024 hasn’t been ideal for electric vehicle investing, the research from Gartner seems to indicate that the best is yet to come. Research firm Gartner recently predicted that, by 2027, battery electric vehicles will be cheaper on average to produce than comparable cars with internal combustion engines.",neutral,0.59,"Pedro Pacheco, battery, electric car, manufacturing, construction, China, research, OEMs, electric, ETF, KWEB, automakers, South Korea, AUM, roadblock, Tesla, KraneShares, but]to, Gartner, Bloomberg, vehicle, Li Auto, United States, Internet, KARS, OEM, horizon",2024-03-09,175.34,0.0
2024-03-08,"Hardeep Singh Nijjar's death sparked Canada-India diplomatic row
 Exclusive security video obtained by The Fifth Estate reveals the elements of a highly co-ordinated attack that ended with the killing of a prominent Canadian Sikh separatist.
   The document alleges that just hours after Nijjar was killed on June 18, Gupta sent a video of Nijjar's body to the person he was trying to hire as a contract killer and told him to kill the New York target ""quickly.""
  The fight for an independent Khalistan
  The alleged New York target has since been revealed to be Gurpatwant Singh Pannun, a dual Canadian-American citizen and a staunch ally of Nijjar in the fight for an independent Sikh homeland in northern India to be called Khalistan.
   ""Canadian security agencies have been actively pursuing credible allegations of a potential link between agents of the government of India and the killing of a Canadian citizen Hardeep Singh Nijjar,"" Trudeau said in the House of Commons on Sept. 18.
   As general counsel for the pro-Khalistan U.S.-based group Sikhs for Justice, Pannun is known widely for the videos he posts online in which he makes inflammatory statements about the Indian government and Prime Minister Narendra Modi, including one in which he labels Modi a ""Hindu terrorist.""
  Sikh leaders marked for death
  Pannun believes the non-binding referendums are the reason he and Nijjar became targets of the Indian government.
   The Fifth Estate shows how the killing of Hardeep Singh Nijjar was carried out
  Sidhu told his friend, Malkit Singh, to chase the two men on foot while he tried to help Nijjar.
  ",negative,0.49,"Bob McKeown, inclination, Gurdwara, Gupta, San Francisco, Indian, Canadian citizen, Mississauga, Malkit Singh, extradition, RCMP, Malik, Sikh, gurdwara, national security, alley, Czech Republic, Toyota, Toyota Camry, plumbing, Pannun, CBC-TV, sedan, Unacceptable, Prime Minister, Surrey, B.C. Sikh, Singh, soil, Air India, tense, Canada, Camry, Rome, indigenous people, Dodge Ram, Melbourne, YouTube, Sidhu, hitman, Referendums, CBC, Jody Thomas, London, killing, Tesla, Ottawa, Canadian, Narendra Modi, Moninder Singh, contract killer, Fifth, referendum, India, Nijjar, Guru Nanak, confidential informant, CSIS, targeted killing, separatist, Khalistan, Punjab, Gem, indictment, Modi, Sikhs, Ward Elcock, Hindu, pickup truck, targeted killings, Singh Nijjar, general counsel, Brampton, Dodge, soccer, Justin Trudeau, contract killing, ET, B.C, New York, Nikhil Gupta, Geneva, U.S, government, Trudeau, Indian government",2024-03-09,175.34,0.0
2024-03-09,"Comments Off on Spring Break Travel Tips for North Carolinians
Spring Break is finally here, and many North Carolinians are ready to kick back, relax, and explore new places. According to AAA’s survey, about 30 percent of folks in North Carolina are gearing up for Spring Break travel in 2024. Also Read: Definitive Google Shopping Handbook for Retailers in 2024
 In short, with a little preparation and the help of AAA, North Carolinians can enjoy their Spring Break travels worry-free. AAA’s data shows a big increase in cruise bookings, with many Spring Break cruises selling out months ago. Luckily, AAA is here to help with some useful tips to make your Spring Break adventures smooth sailing.
 ",neutral,0.98,"Spring, cruises, Google Shopping, insurance, AAA travel, Break, Vice President, stress, beach, Florida, Debbie Haas, travel insurance, IDP, survey, U.S, Tesla, cruise, Travel, Carolinians, road, North, travel, Spring Break, AAA, North Carolina",2024-03-10,177.77,1.3252016301405096
2024-03-09,"NAPCO Security Technologies Inc (NASDAQ: NSSC) open the trading on Wednesday, with a bit cautious approach as it glided -6.60% to $41.15, before settling in for the price of $44.06 at the close. [NAPCO Security Technologies Inc, NSSC] recent stats showed that its last 5-days Average volume was superior the volume it posted in the year-ago period. NAPCO Security Technologies Inc's EPS increase for this current 12-month fiscal period is 78.08% and is forecasted to reach 1.49 in the upcoming year. Raw Stochastic average of NAPCO Security Technologies Inc (NSSC) in the period of the previous 100 days is set at 82.07%, which indicates a major rise in contrast to 32.59% during the last 2-weeks. NAPCO Security Technologies Inc (NASDAQ: NSSC) Trading Performance Indicators  Let's observe the current performance indicators for NAPCO Security Technologies Inc (NSSC).",neutral,0.89,"AI, Quick Ratio, PE, year, Raw, Raw Stochastic, time, Invest, Amazon, Technical Analysis, Stochastic %D, ATR, Revenue Records, Imagine, EPS, NASDAQ, NAPCO, market capitalization, days, President, Tesla, PE Ratio, last, volatility, Diluted EPS, stock, 12-month, NSSC, Technologies, Security, Buffett, Company, market, fiscal year, CEO, Apple",2024-03-10,177.77,1.3252016301405096
2024-03-10,"Surgepays Inc (NASDAQ:SURG)'s traded shares stood at 0.66 million during the latest session, with the company's beta value hitting 1.58.
 Surgepays Inc (NASDAQ:SURG)'s Major holders
  Surgepays Inc insiders hold 34.01% of total outstanding shares, with institutional holders owning 8.11% of the shares at 12.30% float percentage. We also have Vanguard Total Stock Market Index Fund and Bridgeway Funds Inc-Ultra Small Company Fund as the top two Mutual Funds with the largest holdings of the Surgepays Inc (SURG) shares. Short interest in Surgepays Inc (NASDAQ:SURG) saw shorts transact 1.98 million shares and set a 2.18 days time to cover.
   Surgepays Inc has a forward dividend ratio of 0, with the share yield ticking at 0.00% to continue the rising pattern observed over the past year.",neutral,0.56,"trading, stock, 1.58, price, transact, Invest, Vanguard Group, total, peak, AI, Imagine, Buffett, Tesla, SURG Dividends, Vanguard, year, SURG, Jun, company, Jun 29, shares, NASDAQ, Surgepays, dividend, market valuation, Apple, Amazon, Revenue, dividend yield, Surgepays Inc, fiscal year",2024-03-11,177.54,-0.1293806604039029
2024-03-10,"On Holding AG (NYSE:ONON) price on Friday, March 08, rose 2.61% above its previous day's close as an upside momentum from buyers pushed the stock's value to $32.85.
  If we refocus on On Holding AG (NYSE:ONON), historical trading data shows that trading volumes averaged 4.98 million over the past 10 days and 5.01 million over the past 3 months. The data shows that as of Feb 15, 2024 short interest in On Holding AG (ONON) stood at 10.42% of shares outstanding, with shares short rising to 27.91 million registered in Jan 12, 2024. Further, On Holding AG (ONON) has a beta value of 2.17, and an average true range (ATR) of 1.12.
   Turning to the stock's technical picture we see that short term indicators suggest on average that ONON is a 100% Buy.",neutral,0.93,"EPS, Wall Street, stock, AI, Holding AG, Tesla, Buffett, Revisions, PE ratio, trading, 5-Year, price, PE, The Relative, data, value, past, RSI, YTD, Holding, Imagine, Apple, fiscal year, market cap, ATR, Strength Index, ratio, ONON, Amazon, company, NYSE, Invest, 52-week, volatility",2024-03-11,177.54,-0.1293806604039029
2024-03-11,"Elon Musk announced today that xAI Corp., the OpenAI competitor he launched last year, plans to open-source its flagship large language model.
  “This week, @xAI will open source Grok,” Musk wrote in an early morning post on X. Developers typically share open-source AI models on Hugging Face, a GitHub-like website for hosting machine learning projects. Musk's move to open-source Grok comes a few days after he sued OpenAI for allegedly breaching a commitment to make major AI advancements “freely available to the public.” The Hugging Face repository for an open-source model often includes not only the AI code itself but also related assets such as the training dataset with which it was developed.
   Musk's AI company has already announced its intention to build a more advanced version of Grok.",neutral,1,"AI, Tesla Inc., open, X. Developers, browser-based, company, Elon Musk, CEO, OpenAI, Musk source, This week, Tesla, xAI, code, source, machine learning, formal verification, LLM, open-source license, Mistral AI, such, Anthropic PBC, equity, Mistral, @xAI, xAI Corp, Tesla Inc, Grok, Musk, LLMs, SpaceX, flagship, nonprofit, Formal verification",2024-03-12,169.48,-2.062987575845144
2024-03-11,"Automotive Advanced Driver Assistance Systems: Partner Selection
 Nissan - Future Direction
 Nissan - OTA
 Toyota
 Toyota - Strategy
 Toyota - Responsibility for ADAS R&D Activities
 Toyota - Centers of Excellence
 Toyota - Partners and Partner Selection
 Toyota - Future Direction
 Toyota - OTA
 Growth Opportunity Universe
 Growth Opportunity 1 - Implementing Lidar as Part of the ADAS Sensor Suite
 For more information about this report visit https://www.researchandmarkets.com/r/ichwa5
 About ResearchAndMarkets.com
 ResearchAndMarkets.com is the world's leading source for international market research reports and market data. Company Coverage:
 Ford
 General Motors
 Hyundai
 Nissan
 Tesla
 Toyota
 Key Topics Covered:
 Key Findings
 Key Takeaways
 Predictions
 Current Levels of Autonomy by OEM
 Benchmarking Key ADAS/AD Offerings and Models
 Growth Opportunity Analysis
 Scope of Analysis
 Ford
 Ford - Strategy
 Ford - Responsibility for ADAS R&D Activities
 Ford - Centers of Excellence
 Ford - Partners and Direction
 Ford - OTA
 General Motors
 General Motors - Strategy
 General Motors - Responsibility for ADAS R&D Activities
 General Motors - Centers of Excellence
 General Motors - Partners and Partner Selection
 General Motors - Future Direction
 General Motors - OTA
 Tesla
 Tesla - Strategy
 Tesla - Responsibility for ADAS R&D Activities
 Tesla - Centers of Excellence
 Tesla - Partners and Partner Selection
 Tesla - Future Direction
 Tesla - OTA
 Hyundai
 Hyundai - Strategy
 Hyundai - Responsibility for ADAS R&D Activities
 Hyundai - Centers of Excellence
 Hyundai - Partners and Partner Selection
 Hyundai - Future Direction
 Hyundai - OTA
 Nissan
 Nissan - Strategy
 Nissan - Responsibility for ADAS R&D Activities
 Nissan - Centers of Excellence
 Nissan - Partners and",neutral,0.71,"market data, competitive advantage, R&D, Lidar, Nissan, Toyota, California, PR Newswire, Tesla, overview, Nevada, ADAS, Ford, OEM, Scope, General Motors, Sensor Suite, AD, GMT, 353-1-416-8900, features, U.S, autonomous driving, DUBLIN, Research, ResearchAndMarkets.com, OEMs, adoption, Laura Wood, vehicles, market, United States, US, Hyundai, Markets",2024-03-12,169.48,-2.062987575845144
