v,vw,o,c,h,l,t,n,date
38535424.0,216.0595,218.69,213.3,222.62,211.5901,1647230400000,556360,2022-03-14 04:00:00
49199569.0,225.2202,215.18,229.73,230.38,213.2201,1647316800000,643180,2022-03-15 04:00:00
66716474.0,239.9899,235.0,244.96,245.97,231.72,1647403200000,796764,2022-03-16 04:00:00
47194119.0,244.4553,241.2,247.66,248.42,239.06,1647489600000,593846,2022-03-17 04:00:00
73033856.0,260.2692,247.99,264.53,265.6899,246.24,1647576000000,769519,2022-03-18 04:00:00
59120358.0,265.1678,265.07,267.34,271.5199,259.67,1647835200000,735243,2022-03-21 04:00:00
54700710.0,267.3988,267.27,265.24,272.38,260.72,1647921600000,726980,2022-03-22 04:00:00
50211986.0,260.3209,261.26,256.34,266.115,255.7501,1648008000000,648445,2022-03-23 04:00:00
87737914.0,275.4653,261.66,281.5,283.1999,259.07,1648094400000,1123832,2022-03-24 04:00:00
57901618.0,277.3748,278.86,276.92,283.58,272.71,1648180800000,756932,2022-03-25 04:00:00
42549392.0,278.1882,277.555,282.19,282.5,272.06,1648440000000,600917,2022-03-28 04:00:00
48848440.0,284.5976,286.945,286.56,289.46,279.8,1648526400000,687062,2022-03-29 04:00:00
46348713.0,279.87,283.04,276.9,284.955,275.03,1648612800000,625543,2022-03-30 04:00:00
52339022.0,277.2384,277.82,272.86,282.48,272.7,1648699200000,650064,2022-03-31 04:00:00
51723511.0,266.6257,273.75,267.12,274.96,262.67,1648785600000,693982,2022-04-01 04:00:00
39770782.0,272.5287,267.28,273.6,275.58,266.13,1649044800000,499185,2022-04-04 04:00:00
43654352.0,262.9166,272.54,259.31,273.19,258.2,1649131200000,639993,2022-04-05 04:00:00
70076148.0,245.2649,249.34,244.07,253.0,240.03,1649217600000,988183,2022-04-06 04:00:00
55799236.0,241.549,244.41,242.08,247.22,234.78,1649304000000,714654,2022-04-07 04:00:00
52478064.0,233.2497,239.17,231.19,239.23,230.6201,1649390400000,671401,2022-04-08 04:00:00
57483434.0,219.556,222.14,219.17,223.1994,216.6,1649649600000,883230,2022-04-11 04:00:00
65771807.0,218.7215,225.37,215.04,227.25,212.8204,1649736000000,926864,2022-04-12 04:00:00
51667344.0,220.6315,217.28,222.03,225.0,214.55,1649822400000,655301,2022-04-13 04:00:00
56909685.0,217.2758,225.05,212.58,227.77,211.63,1649908800000,789247,2022-04-14 04:00:00
52570061.0,216.403,212.0,217.83,220.88,210.79,1650254400000,603364,2022-04-18 04:00:00
51270658.0,220.426,217.2,221.98,223.73,213.14,1650340800000,590022,2022-04-19 04:00:00
46897444.0,216.4164,225.171,214.82,226.7037,212.0,1650427200000,639623,2022-04-20 04:00:00
65610344.0,208.5471,217.0915,201.83,223.92,200.0,1650513600000,939649,2022-04-21 04:00:00
62416343.0,198.8925,203.03,195.15,204.86,195.0,1650600000000,995921,2022-04-22 04:00:00
64147821.0,194.9388,192.02,199.02,199.45,190.96,1650859200000,719523,2022-04-25 04:00:00
65314250.0,189.8777,197.18,187.88,197.88,186.7,1650945600000,760878,2022-04-26 04:00:00
49946017.0,186.4271,185.98,184.15,191.67,182.9,1651032000000,618285,2022-04-27 04:00:00
57032671.0,193.4997,189.67,197.82,200.37,184.8957,1651118400000,635751,2022-04-28 04:00:00
50043491.0,191.3596,194.02,185.47,201.2848,185.17,1651204800000,612471,2022-04-29 04:00:00
57204868.0,189.7449,185.405,195.33,195.74,183.91,1651464000000,595324,2022-05-02 04:00:00
47575084.0,195.2825,194.0,196.02,198.25,191.33,1651550400000,502553,2022-05-03 04:00:00
64885463.0,195.0596,199.23,203.34,204.0,187.51,1651636800000,751637,2022-05-04 04:00:00
62583141.0,189.5077,198.67,188.44,199.25,185.0,1651723200000,763625,2022-05-05 04:00:00
62803672.0,187.5339,187.36,186.75,195.12,179.9,1651809600000,702413,2022-05-06 04:00:00
64445451.0,174.0198,180.34,169.5,182.55,168.27,1652068800000,822227,2022-05-09 04:00:00
75140229.0,176.0605,176.89,175.95,181.98,170.25,1652155200000,806185,2022-05-10 04:00:00
66971139.0,171.1927,173.47,166.3,177.53,165.68,1652241600000,778025,2022-05-11 04:00:00
70863837.0,160.72,162.191,161.75,167.88,155.67,1652328000000,903255,2022-05-12 04:00:00
67023651.0,174.8465,167.88,177.06,179.2843,165.925,1652414400000,719347,2022-05-13 04:00:00
52144598.0,174.449,175.09,172.64,177.88,171.06,1652673600000,483480,2022-05-16 04:00:00
58582971.0,180.0808,180.74,181.77,183.71,176.34,1652760000000,563506,2022-05-17 04:00:00
54516106.0,173.659,177.05,169.38,181.18,168.64,1652846400000,536759,2022-05-18 04:00:00
62130959.0,172.781,169.37,171.24,176.87,167.3405,1652932800000,549159,2022-05-19 04:00:00
73910526.0,163.8915,173.32,166.94,174.1,157.55,1653019200000,722854,2022-05-20 04:00:00
63988869.0,166.4595,162.74,168.98,169.15,161.7901,1653278400000,546192,2022-05-23 04:00:00
58855002.0,161.2397,165.1,161.54,165.97,157.8,1653364800000,558878,2022-05-24 04:00:00
77979990.0,165.7176,160.2,169.75,171.1099,160.0,1653451200000,768374,2022-05-25 04:00:00
99612452.0,174.6776,160.36,178.51,180.92,160.22,1653537600000,914404,2022-05-26 04:00:00
73838014.0,185.5112,181.86,188.11,188.81,181.0,1653624000000,701004,2022-05-27 04:00:00
66409951.0,187.4639,189.8,186.72,192.0,183.5,1653969600000,615021,2022-05-31 04:00:00
54451390.0,185.4384,187.24,183.2,190.5318,181.22,1654056000000,535015,2022-06-01 04:00:00
64865580.0,191.9757,182.92,195.92,196.19,181.98,1654142400000,624105,2022-06-02 04:00:00
59865470.0,188.6417,190.815,187.2,193.323,185.2156,1654228800000,548127,2022-06-03 04:00:00
42240615.0,189.1265,191.39,187.86,193.37,185.642,1654488000000,412946,2022-06-06 04:00:00
38891411.0,187.2802,184.72,189.26,190.0,181.88,1654574400000,398018,2022-06-07 04:00:00
36325246.0,188.1114,187.99,186.48,191.8,185.35,1654660800000,373184,2022-06-08 04:00:00
39547379.0,185.1376,184.81,180.48,189.33,180.41,1654747200000,392445,2022-06-09 04:00:00
46564966.0,171.4428,176.0,169.74,176.97,168.69,1654833600000,532029,2022-06-10 04:00:00
60415338.0,158.6814,160.0,156.47,163.12,156.06,1655092800000,698922,2022-06-13 04:00:00
46953452.0,157.64,157.31,158.36,160.66,154.12,1655179200000,479628,2022-06-14 04:00:00
56393565.0,163.4682,160.95,165.27,168.68,159.26,1655265600000,560818,2022-06-15 04:00:00
54484867.0,155.9775,158.6,156.01,159.4232,154.01,1655352000000,568658,2022-06-16 04:00:00
63033397.0,157.816,156.48,158.8,159.95,153.28,1655438400000,496529,2022-06-17 04:00:00
48307138.0,167.5516,164.745,165.66,170.08,164.07,1655784000000,518114,2022-06-21 04:00:00
43799744.0,164.4195,162.26,163.6,166.62,161.8,1655870400000,436479,2022-06-22 04:00:00
46367959.0,161.5169,165.185,162.25,165.85,158.53,1655956800000,489644,2022-06-23 04:00:00
47215283.0,168.6261,165.0,171.26,171.4,163.1,1656043200000,459976,2022-06-24 04:00:00
42796788.0,169.3179,173.12,168.69,173.3,166.255,1656302400000,402904,2022-06-27 04:00:00
46167336.0,163.5043,169.0,159.82,172.0199,159.45,1656388800000,491605,2022-06-28 04:00:00
48235228.0,154.4985,158.14,155.42,158.2,151.7,1656475200000,545550,2022-06-29 04:00:00
68607003.0,152.0443,153.61,151.59,155.67,148.62,1656561600000,671450,2022-06-30 04:00:00
57761008.0,146.2097,148.99,145.23,150.6291,143.92,1656648000000,624513,2022-07-01 04:00:00
65220761.0,146.2807,141.75,149.64,149.71,140.55,1656993600000,619576,2022-07-05 04:00:00
52906586.0,150.7677,150.1,151.3,153.1899,147.89,1657080000000,466923,2022-07-06 04:00:00
49290276.0,157.0558,154.555,158.58,159.45,153.89,1657166400000,464641,2022-07-07 04:00:00
