v,vw,o,c,h,l,t,n,date
71131263.0,257.9314,260.2033,255.4567,266.9,252.0133,1647230400000,783852,2022-03-14 04:00:00
66839703.0,262.7294,258.4233,267.2967,268.5233,252.19,1647316800000,620156,2022-03-15 04:00:00
84028821.0,275.9049,269.6667,280.0767,280.6667,267.42,1647403200000,751551,2022-03-16 04:00:00
66582972.0,285.5174,276.9967,290.5333,291.6667,275.2393,1647489600000,608930,2022-03-17 04:00:00
100378191.0,298.7398,291.4967,301.7967,302.6167,289.13,1647576000000,701623,2022-03-18 04:00:00
81980352.0,307.4873,304.9933,307.0533,314.2833,302.3633,1647835200000,746489,2022-03-21 04:00:00
105838857.0,321.0034,310.0,331.3267,332.62,307.25,1647921600000,940957,2022-03-22 04:00:00
120476469.0,336.5311,326.6467,333.0367,346.9,325.4667,1648008000000,1124233,2022-03-23 04:00:00
68914878.0,336.2858,336.5767,337.9733,341.4967,329.6,1648094400000,683996,2022-03-24 04:00:00
61968846.0,335.8521,336.0,336.88,340.6,332.44,1648180800000,592400,2022-03-25 04:00:00
102300579.0,359.9024,355.0333,363.9467,365.96,351.2,1648440000000,1109113,2022-03-28 04:00:00
73601607.0,365.5399,369.33,366.5233,371.59,357.7033,1648526400000,831058,2022-03-29 04:00:00
59865006.0,366.1829,363.7233,364.6633,371.3167,361.3333,1648612800000,597499,2022-03-30 04:00:00
48992757.0,363.1294,364.8567,359.2,367.7133,358.8803,1648699200000,509541,2022-03-31 04:00:00
54263223.0,360.4691,360.3833,361.53,364.9167,355.5467,1648785600000,549089,2022-04-01 04:00:00
82177701.0,374.1053,363.1267,381.8167,383.3033,357.51,1649044800000,859373,2022-04-04 04:00:00
79925019.0,371.3746,378.7667,363.7533,384.29,362.4333,1649131200000,859306,2022-04-05 04:00:00
89348535.0,349.0846,357.8233,348.5867,359.6667,342.5667,1649217600000,963152,2022-04-06 04:00:00
79436259.0,350.4434,350.7967,352.42,358.8633,340.5134,1649304000000,771753,2022-04-07 04:00:00
54777669.0,344.8107,347.7367,341.83,349.48,340.8117,1649390400000,582320,2022-04-08 04:00:00
59357205.0,329.3049,326.8,325.31,336.156,324.88,1649649600000,756593,2022-04-11 04:00:00
65976096.0,332.427,332.5467,328.9833,340.3974,325.5334,1649736000000,615650,2022-04-12 04:00:00
55104912.0,334.9622,327.025,340.79,342.08,324.3657,1649822400000,521647,2022-04-13 04:00:00
58413105.0,330.57,333.0967,328.3333,337.57,327.3967,1649908800000,580182,2022-04-14 04:00:00
51712161.0,332.4786,329.6767,334.7633,338.3067,324.47,1650254400000,544520,2022-04-18 04:00:00
49814232.0,340.4812,335.02,342.7167,344.98,331.775,1650340800000,527905,2022-04-19 04:00:00
70604766.0,332.8011,343.3333,325.7333,344.6667,325.0834,1650427200000,864906,2022-04-20 04:00:00
105409695.0,348.7502,358.2433,336.26,364.0733,332.1383,1650513600000,1119156,2022-04-21 04:00:00
69680658.0,337.9642,338.3033,335.0167,344.95,331.3334,1650600000000,691866,2022-04-22 04:00:00
68341335.0,330.9047,326.3233,332.6733,336.2067,325.1,1650859200000,719906,2022-04-25 04:00:00
136091667.0,303.7762,331.81,292.14,333.3333,291.6667,1650945600000,1570848,2022-04-26 04:00:00
76956396.0,298.9936,299.5267,293.8367,306.0,292.4533,1651032000000,913172,2022-04-27 04:00:00
124940391.0,286.282,299.9933,292.5033,300.0,273.9,1651118400000,1367545,2022-04-28 04:00:00
88124595.0,300.3742,300.75,290.2533,311.4666,290.0,1651204800000,892714,2022-04-29 04:00:00
75781371.0,292.3097,286.9233,300.98,302.12,282.6767,1651464000000,786411,2022-05-02 04:00:00
63709575.0,302.8939,301.06,303.0833,308.0267,296.1967,1651550400000,607314,2022-05-03 04:00:00
81568704.0,305.7242,301.3133,317.54,318.5,295.0933,1651636800000,728806,2022-05-04 04:00:00
92519193.0,296.7581,313.07,291.0933,315.2,285.9,1651723200000,1016720,2022-05-05 04:00:00
72895911.0,289.3578,295.6667,288.55,296.0,281.035,1651809600000,790390,2022-05-06 04:00:00
90195672.0,270.0545,278.8167,262.37,281.8767,260.3833,1652068800000,1135040,2022-05-09 04:00:00
